,MM_Acc,DD_Mes_Acc,Dia_Semana_Acc,Hora_Acc,Min_Acc,Localidad,Gravedad_Indicador_Tradicional,Clase,Edad,Sexo
0,1,7,7,0,10,9,1,2,32.0,1
1,1,7,7,0,10,9,1,2,42.0,1
2,1,7,7,0,10,9,1,2,31.0,2
3,1,7,7,0,10,9,1,2,28.0,1
4,1,7,7,0,10,9,1,2,34.0,1
5,1,4,4,8,7,7,1,1,23.0,2
6,1,4,4,8,7,7,1,2,50.0,1
7,1,6,6,11,57,13,1,1,26.0,1
8,1,6,6,11,57,13,1,1,39.0,2
9,1,6,6,11,57,13,1,1,53.0,1
10,1,6,6,11,57,13,1,1,46.0,2
11,1,6,6,16,4,4,3,1,24.0,2
12,1,6,6,16,4,4,3,2,33.0,1
13,1,4,4,19,36,12,1,2,36.0,1
14,1,4,4,19,36,12,1,2,32.0,2
15,1,4,4,19,36,12,1,3,38.0,1
16,1,1,1,12,0,18,3,2,22.0,1
17,1,1,1,12,0,18,3,1,37.0,1
18,1,6,6,23,40,2,1,1,35.0,1
19,1,5,5,10,10,11,1,2,40.0,1
20,1,7,7,11,25,18,1,1,43.0,1
21,1,7,7,11,25,18,1,1,41.0,2
22,1,7,7,15,45,12,1,1,45.0,1
23,1,9,2,9,30,17,1,1,29.0,1
24,1,9,2,9,30,17,1,2,26.0,1
25,1,7,7,17,15,5,1,1,35.0,1
26,1,9,2,21,0,19,1,1,28.0,1
27,1,9,2,21,0,19,1,1,52.0,1
28,1,8,1,5,43,3,1,1,29.0,1
29,1,8,1,5,43,3,1,1,28.0,1
30,1,8,1,5,43,3,1,1,26.0,2
31,1,7,7,16,45,9,1,1,29.0,1
32,1,7,7,16,45,9,1,1,16.0,2
33,1,7,7,16,45,9,1,5,51.0,1
34,1,6,6,20,24,15,1,2,41.0,1
35,1,6,6,20,24,15,1,1,27.0,2
36,1,6,6,20,24,15,1,1,30.0,1
37,1,4,4,14,50,10,1,2,34.0,1
38,1,4,4,14,50,10,1,1,61.0,1
39,1,4,4,14,50,10,1,4,65.0,1
40,1,9,2,19,21,17,1,1,24.0,2
41,1,9,2,19,21,17,1,1,57.0,1
42,1,7,7,16,10,8,1,2,24.0,1
43,1,7,7,16,10,8,1,1,23.0,1
44,1,11,4,23,32,16,1,1,27.0,1
45,1,13,6,16,5,15,1,1,37.0,1
46,1,13,6,16,5,15,1,6,34.0,1
47,1,13,6,13,0,11,1,1,50.0,2
48,1,13,6,13,0,11,1,1,24.0,1
49,1,16,2,5,50,17,1,2,23.0,1
50,1,16,2,5,50,17,1,1,36.0,1
51,1,13,6,20,38,16,1,1,22.0,1
52,1,14,7,15,45,18,1,3,28.0,2
53,1,14,7,15,45,18,1,3,58.0,2
54,1,14,7,15,45,18,1,3,24.0,2
55,1,14,7,15,45,18,1,3,53.0,2
56,1,15,1,7,34,6,1,1,28.0,1
57,1,15,1,7,34,6,1,1,31.0,2
58,1,15,1,7,34,6,1,2,65.0,1
59,1,16,2,19,32,16,1,1,21.0,1
60,1,16,2,21,0,12,1,3,39.0,1
61,1,16,2,21,0,12,1,5,57.0,1
62,1,1,1,9,10,14,1,4,24.0,1
63,1,1,1,6,30,8,1,5,54.0,1
64,1,9,2,6,20,10,1,2,52.0,1
65,1,9,2,6,20,10,1,1,24.0,1
66,1,9,2,6,20,10,1,6,53.0,1
67,1,13,6,0,50,17,1,1,27.0,1
68,1,13,6,0,50,17,1,1,25.0,1
69,1,9,2,17,30,12,1,16,18.0,1
70,1,9,2,17,30,12,1,16,36.0,1
71,1,9,2,14,43,12,1,3,62.0,1
72,1,10,3,17,49,11,1,3,40.0,1
73,1,10,3,17,49,11,1,3,56.0,2
74,1,10,3,8,30,11,1,1,25.0,1
75,1,1,1,23,35,5,1,1,25.0,1
76,1,5,5,2,40,16,2,4,22.0,1
77,1,2,2,10,50,5,1,2,61.0,1
78,1,4,4,17,10,13,1,1,22.0,1
79,1,4,4,17,10,13,1,4,26.0,1
80,1,2,2,7,20,14,1,1,26.0,1
81,1,2,2,7,20,14,1,4,35.0,1
82,1,4,4,19,6,10,1,1,23.0,2
83,1,3,3,20,30,16,1,9,31.0,1
84,1,3,3,20,30,16,1,5,16.0,1
85,1,11,4,8,45,13,3,9,58.0,1
86,1,10,3,18,38,15,1,3,54.0,1
87,1,10,3,18,38,15,1,3,71.0,2
88,1,10,3,18,5,12,1,2,45.0,1
89,1,10,3,18,5,12,1,1,22.0,1
90,1,10,3,18,5,12,1,1,27.0,1
91,1,10,3,18,5,12,1,1,25.0,2
92,1,10,3,23,37,1,1,2,46.0,1
93,1,10,3,23,37,1,1,1,21.0,1
94,1,11,4,13,40,1,1,2,56.0,1
95,1,12,5,3,40,2,1,1,35.0,1
96,1,11,4,12,30,11,1,4,70.0,1
97,1,11,4,12,30,11,1,5,51.0,1
98,1,13,6,12,5,16,3,4,27.0,1
99,1,2,2,5,55,12,1,1,28.0,1
100,1,2,2,5,55,12,1,5,18.0,1
101,1,3,3,5,40,1,1,1,25.0,1
102,1,3,3,5,40,1,1,1,35.0,2
103,1,3,3,5,40,1,1,1,32.0,1
104,1,4,4,7,51,10,1,2,43.0,1
105,1,4,4,7,51,10,1,1,32.0,1
106,1,6,6,8,40,5,1,3,39.0,1
107,1,6,6,8,40,5,1,3,58.0,2
108,1,5,5,18,20,19,1,1,48.0,2
109,1,5,5,18,20,19,1,5,40.0,1
110,1,5,5,7,45,18,1,4,49.0,1
111,1,5,5,7,45,18,1,5,30.0,1
112,1,7,7,17,22,16,1,1,25.0,1
113,1,7,7,17,22,16,1,1,28.0,1
114,1,7,7,17,22,16,1,1,20.0,2
115,1,7,7,17,22,16,1,1,22.0,1
116,1,10,3,19,30,16,1,1,37.0,1
117,1,10,3,19,30,16,1,1,33.0,2
118,1,10,3,10,50,8,1,1,69.0,1
119,1,10,3,10,50,8,1,2,69.0,1
120,1,13,6,22,15,16,1,1,28.0,1
121,1,14,7,5,35,11,1,1,23.0,1
122,1,14,7,5,35,11,1,1,23.0,2
